community_id,size,e_in,e_cut,density,conductance,avg_clustering
14,548,5356,45,0.0357,0.0042,0.6246
9,535,8691,479,0.0608,0.0268,0.5162
1,435,16687,1258,0.1768,0.0363,0.5865
3,431,6060,847,0.0654,0.0653,0.5918
10,423,11422,1270,0.128,0.0527,0.6168
0,350,2845,52,0.0466,0.0091,0.6516
4,324,6303,1012,0.1205,0.0743,0.5639
11,237,16543,906,0.5915,0.0267,0.7771
8,226,5600,294,0.2203,0.0256,0.5248
6,206,1983,7,0.0939,0.0018,0.6353
2,128,1074,378,0.1321,0.1496,0.656
12,73,1486,249,0.5654,0.0773,0.6948
15,60,205,4,0.1158,0.0097,0.6557
5,25,260,27,0.8667,0.0494,0.9047
7,19,136,26,0.7953,0.0872,0.8913
13,19,129,54,0.7544,0.1731,0.8427
