strategy,theta,fraction_active,steps
degree,0.1,1.0,10.0
degree,0.2,0.8883386976974499,28.0
degree,0.3,0.07303788066353058,8.0
degree,0.4,0.03862342163901956,7.0
degree,0.5,0.03466204506065858,2.0
pagerank,0.1,1.0,9.0
pagerank,0.2,0.7880663530576876,28.0
pagerank,0.3,0.10819509779648427,8.0
pagerank,0.4,0.05570685813320129,7.0
pagerank,0.5,0.049022035157217134,3.0
random,0.1,0.9239910869026987,21.8
random,0.2,0.004654617479574152,3.0
random,0.3,0.002921515226541223,1.2
random,0.4,0.0025253775687051247,0.2
random,0.5,0.0025253775687051247,0.2
